candidate_id,rank,score,reasoning
CAND_0088025,1,0.9398,"Staff Machine Learning Engineer with 8.6 yrs exp at Yellow.ai; top skills: Elasticsearch, Learning to Rank, RAG; marked open to work; strong recruiter response rate (83%); notice period 90d (concern: above buyout threshold)."
CAND_0077337,2,0.9341,"Staff Machine Learning Engineer with 7.0 yrs exp at Paytm; top skills: LlamaIndex, LLMs, Information Retrieval; marked open to work; strong recruiter response rate (95%)."
CAND_0071974,3,0.9247,"Senior AI Engineer with 7.8 yrs exp at Netflix; top skills: Qdrant, Embeddings, Elasticsearch; marked open to work; strong recruiter response rate (76%)."
CAND_0018499,4,0.9199,"Senior Machine Learning Engineer with 7.2 yrs exp at Zomato; top skills: scikit-learn, Recommendation Systems, Learning to Rank; marked open to work; strong recruiter response rate (61%); notice period 15d (within buyout window)."
CAND_0081846,5,0.9167,"Lead AI Engineer with 6.7 yrs exp at Razorpay; top skills: Information Retrieval, Learning to Rank, Vector Search; marked open to work; strong recruiter response rate (73%); notice period 30d (within buyout window)."
CAND_0020708,6,0.9143,"Search Engineer with 4.2 yrs exp at PolicyBazaar; top skills: LLMs, Prompt Engineering, Learning to Rank; marked open to work; strong recruiter response rate (84%); notice period 30d (within buyout window)."
CAND_0039754,7,0.9142,"Senior Applied Scientist with 16.2 yrs exp at Meta; top skills: NLP, Deep Learning, Python; marked open to work; strong recruiter response rate (81%); notice period 30d (within buyout window)."
CAND_0002025,8,0.9089,"Senior AI Engineer with 5.9 yrs exp at Apple; top skills: Deep Learning, NLP, FAISS; marked open to work; strong recruiter response rate (80%); notice period 30d (within buyout window)."
CAND_0086022,9,0.9087,"Senior Applied Scientist with 5.3 yrs exp at Sarvam AI; top skills: pgvector, LangChain, PyTorch; marked open to work; strong recruiter response rate (55%); notice period 0d (within buyout window)."
CAND_0007460,10,0.9061,"AI Engineer with 4.7 yrs exp at Salesforce; top skills: LangChain, Semantic Search, NLP; marked open to work; notice period 120d (concern: above buyout threshold)."
CAND_0055905,11,0.8995,"Senior Machine Learning Engineer with 8.1 yrs exp at Flipkart; top skills: OpenSearch, Python, LangChain; marked open to work; strong recruiter response rate (87%); notice period 30d (within buyout window)."
CAND_0046064,12,0.8937,"Senior NLP Engineer with 8.9 yrs exp at Salesforce; top skills: Pinecone, BM25, PEFT; marked open to work; strong recruiter response rate (78%); notice period 30d (within buyout window)."
CAND_0042506,13,0.8886,"Search Engineer with 4.2 yrs exp at Verloop.io; top skills: NLP, FAISS, PEFT; marked open to work; notice period 15d (within buyout window)."
CAND_0046525,14,0.8882,"Senior Machine Learning Engineer with 6.1 yrs exp at Genpact AI; top skills: Sentence Transformers, Machine Learning, LlamaIndex; marked open to work; strong recruiter response rate (88%)."
CAND_0095619,15,0.8876,"NLP Engineer with 15.6 yrs exp at Nykaa; top skills: scikit-learn, Pinecone, NLP; marked open to work; strong recruiter response rate (90%); notice period 30d (within buyout window)."
CAND_0093547,16,0.8838,"Senior Machine Learning Engineer with 2.9 yrs exp at PhonePe; top skills: PEFT, RAG, Information Retrieval; strong recruiter response rate (75%)."
CAND_0084819,17,0.8781,"Search Engineer with 4.5 yrs exp at Dream11; top skills: LoRA, BM25, OpenSearch; marked open to work; strong recruiter response rate (74%); notice period 120d (concern: above buyout threshold)."
CAND_0062247,18,0.8771,"AI Engineer with 7.3 yrs exp at Google; top skills: Hugging Face Transformers, Deep Learning, Vector Search; marked open to work; strong recruiter response rate (78%); notice period 30d (within buyout window)."
CAND_0066376,19,0.8770,"Applied ML Engineer with 5.7 yrs exp at Dream11; top skills: LoRA, LlamaIndex, BM25; marked open to work; strong recruiter response rate (51%); notice period 90d (concern: above buyout threshold)."
CAND_0080766,20,0.8764,"Staff Machine Learning Engineer with 8.8 yrs exp at Salesforce; top skills: Deep Learning, Search Infrastructure, Python; strong recruiter response rate (66%); notice period 0d (within buyout window)."
CAND_0050454,21,0.8735,"AI Engineer with 6.8 yrs exp at Rephrase.ai; top skills: BM25, PyTorch, Fine-tuning LLMs; marked open to work; strong recruiter response rate (77%); notice period 30d (within buyout window)."
CAND_0081053,22,0.8725,"NLP Engineer with 5.4 yrs exp at Glance; top skills: Machine Learning, QLoRA, OpenSearch; marked open to work; strong recruiter response rate (83%); notice period 90d (concern: above buyout threshold)."
CAND_0094759,23,0.8719,"Lead AI Engineer with 8.6 yrs exp at Meta; top skills: Weaviate, Prompt Engineering, Semantic Search; low recruiter response rate (11%); notice period 30d (within buyout window)."
CAND_0007411,24,0.8716,"Senior Machine Learning Engineer with 8.0 yrs exp at Amazon; top skills: Information Retrieval, Prompt Engineering, OpenSearch; low recruiter response rate (12%); notice period 15d (within buyout window)."
CAND_0008239,25,0.8716,"AI Engineer with 4.0 yrs exp at Apple; top skills: Milvus, LangChain, Vector Search; marked open to work; strong recruiter response rate (73%); notice period 15d (within buyout window)."
